"","TESTUA","AD.NG","AD.TRINKOA","AD.LAGUNTZAILEA","ZA.LUZ0","ZA.LUZ1","EZEZKOESALDIA"
"662","behar",1,0,0,0,0,0
"663","dugu",0,0,1,0,0,0
"664","zein",0,0,0,0,0,0
"665","den",0,1,0,0,0,0
"666","onura pertsonala",0,0,0,0,0,0
"667","eta",0,0,0,0,0,0
"668","zein",0,0,0,0,0,0
"669","den",0,1,0,0,0,0
"670","gizarteko onura",0,0,0,1,0,0
"671","hau da",0,0,0,0,0,0
"672","etxe bat",0,0,0,0,0,0
"673","okupatzen",1,0,0,0,0,0
"674","badugu",0,0,0,0,0,0
"675","gure",0,0,0,0,0,0
"676","onurak",0,0,0,0,0,0
"677",NA,0,0,0,1,0,0
"678","izango",1,0,0,0,1,0
"679","dira",0,0,1,0,0,0
